arrival_date_year,arrival_date_month,month_num,total_bookings,total_cancellations,cancellation_rate_pct,avg_daily_rate,running_total_bookings
2015,July,7,2776,1259,45.35,97.83,2776
2015,August,8,3889,1598,41.09,105.92,6665
2015,September,9,5114,2094,40.95,94.82,11779
2015,October,10,4957,1732,34.94,78.9,16736
2015,November,11,2340,486,20.77,60.58,19076
2015,December,12,2920,973,33.32,74.08,21996
2016,January,1,2248,557,24.78,64.77,2248
2016,February,2,3891,1337,34.36,70.1,6139
2016,March,3,4824,1477,30.62,79.07,10963
2016,April,4,5428,2061,37.97,88.92,16391
2016,May,5,5478,1915,34.96,96.4,21869
2016,June,6,5292,2096,39.61,106.98,27161
2016,July,7,4572,1499,32.79,125.48,31733
2016,August,8,5063,1825,36.05,142.89,36796
2016,September,9,5394,2022,37.49,114.75,42190
2016,October,10,6203,2514,40.53,95.11,48393
2016,November,11,4454,1636,36.73,80.74,52847
2016,December,12,3860,1398,36.22,86.37,56707
2017,January,1,3681,1250,33.96,73.78,3681
2017,February,2,4177,1359,32.54,76.82,7858
2017,March,3,4970,1672,33.64,82.24,12828
2017,April,4,5661,2463,43.51,111.37,18489
2017,May,5,6313,2762,43.75,119.37,24802
2017,June,6,5647,2439,43.19,125.76,30449
2017,July,7,5313,1984,37.34,143.04,35762
2017,August,8,4925,1816,36.87,164.25,40687
